fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
7215.39990234375,galei,380709,6041739,35,12.0,47.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,64,black,triangle-down,10
7086.7998046875,galei,388754,6041722,19,12.0,30.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,225,black,triangle-down,10
7098.2001953125,galei,388005,6041684,27,24.0,51.0,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,210,black,triangle-down,10
7113.60009765625,galei,387055,6041692,28,60.0,87.9,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,191,black,triangle-down,10
7113.60009765625,galei,387055,6041692,76,12.0,87.9,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,191,darkgrey,triangle-up-dot,10
7098.2001953125,galei,388005,6041684,69,-18.0,51.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,210,darkgrey,triangle-up-dot,10
7086.7998046875,galei,388754,6041722,61,-30.0,30.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,225,darkgrey,triangle-up-dot,10
5600.0,galei,337007,6963752,38,424.7,462.3,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,140,darkgrey,x,10
5594.7998046875,galei,337357,6963748,43,418.7,462.1,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,147,darkgrey,x,10
5588.0,galei,337807,6963753,62,400.7,462.6,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,156,darkgrey,x,10
5582.60009765625,galei,338157,6963760,79,382.7,462.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,163,darkgrey,x,10
5579.60009765625,galei,338356,6963765,109,352.7,462.1,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,167,darkgrey,x,10
5577.39990234375,galei,338506,6963766,115,346.7,462.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,170,darkgrey,x,10
5573.7998046875,galei,338756,6963768,98,364.7,462.4,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,175,darkgrey,x,10
5570.0,galei,339006,6963773,92,370.7,462.6,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,180,darkgrey,x,10
5560.60009765625,galei,339656,6963788,141,322.7,463.9,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,193,darkgrey,x,10
5556.2001953125,galei,339956,6963786,196,268.7,464.7,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,199,darkgrey,x,10
5551.7998046875,galei,340256,6963781,161,304.7,465.5,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,205,darkgrey,x,10
5548.7998046875,galei,340456,6963783,113,352.7,466.1,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,209,darkgrey,x,10
5545.2001953125,galei,340706,6963791,78,388.7,466.9,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,214,darkgrey,x,10
5542.39990234375,galei,340906,6963797,67,400.7,467.6,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,218,darkgrey,x,10
5586.39990234375,galei,337907,6963755,25,436.7,461.9,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,158,black,triangle-down,10
5580.39990234375,galei,338306,6963764,25,436.7,462.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,166,black,triangle-down,10
5573.0,galei,338806,6963769,26,436.7,462.3,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,176,black,triangle-down,10
5563.39990234375,galei,339456,6963783,21,442.7,463.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,189,black,triangle-down,10
5552.60009765625,galei,340206,6963782,29,436.7,465.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,204,black,triangle-down,10
5547.39990234375,galei,340556,6963786,30,436.7,466.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,211,black,triangle-down,10
5543.2001953125,galei,340856,6963796,19,448.7,467.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,217,black,triangle-down,10
5540.39990234375,galei,341056,6963801,13,454.7,468.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,2036001,User,221,black,triangle-down,10
5540.39990234375,galei,341056,6963801,49,418.7,468.1,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,2036001,User,221,darkgrey,x,10
3655.0,galei,892745,7111737,100,390.8,491.3,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,255,darkgrey,x,10
3651.199951171875,galei,892995,7111731,46,444.8,490.5,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,260,darkgrey,x,10
3674.800048828125,galei,891496,7111764,107,384.8,492.1,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,230,darkgrey,x,10
3681.199951171875,galei,891096,7111779,70,420.8,491.2,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,222,darkgrey,x,10
3665.199951171875,galei,892095,7111746,149,342.8,491.7,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,242,darkgrey,x,10
3687.39990234375,galei,890696,7111788,47,444.8,491.4,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,214,darkgrey,x,10
3687.39990234375,galei,890696,7111788,17,474.8,491.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,214,black,triangle-down,10
3681.199951171875,galei,891096,7111779,16,474.8,491.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,222,black,triangle-down,10
3671.60009765625,galei,891696,7111758,19,474.8,494.0,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,234,black,triangle-down,10
3665.199951171875,galei,892095,7111746,23,468.8,491.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,242,black,triangle-down,10
