fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,Type,BoundaryNm,SURVEY_LINE,Operator,point_index,polyline,colour,Marker,MarkerSize
3655.800049,galei,892695,7111738,23,468.8,491.7,TOP_Cotchin,Top_Cotchin_clay,3044002,User,254,1,#FE020E,triangle-down,12
3651.199951,galei,892995,7111731,16,474.8,490.5,TOP_Cotchin,Top_Cotchin_clay,3044002,User,260,1,#FE020E,triangle-down,12
7105.200195,galei,750211,7138907,44,378.7,423,TOP_Cotchin,Top_Cotchin_clay,3045002,User,4,1,#FE020E,triangle-down,12
7116,galei,750910,7138897,34,384.7,419.2,TOP_Cotchin,Top_Cotchin_clay,3045002,User,18,1,#FE020E,triangle-down,12
7120,galei,751160,7138896,42,378.7,420.4,TOP_Cotchin,Top_Cotchin_clay,3045002,User,23,1,#FE020E,triangle-down,12
7131.600098,galei,751910,7138876,53,360.7,413.7,TOP_Cotchin,Top_Cotchin_clay,3045002,User,38,1,#FE020E,triangle-down,12
7144.600098,galei,752758,7138823,59,348.7,407.5,TOP_Cotchin,Top_Cotchin_clay,3045002,User,55,1,#FE020E,triangle-down,12
7254.600098,galei,759897,7138484,29,372.7,402.2,TOP_Cotchin,Top_Cotchin_clay,3045002,User,198,1,#FE020E,triangle-down,12
7268.799805,galei,760796,7138485,23,378.7,402,TOP_Cotchin,Top_Cotchin_clay,3045002,User,216,1,#FE020E,triangle-down,12
7275,galei,761196,7138463,20,384.7,405,TOP_Cotchin,Top_Cotchin_clay,3045002,User,224,1,#FE020E,triangle-down,12
7287.399902,galei,761994,7138410,27,378.7,405.4,TOP_Cotchin,Top_Cotchin_clay,3045002,User,240,1,#FE020E,triangle-down,12
7321.399902,galei,764191,7138381,21,390.7,411.8,TOP_Cotchin,Top_Cotchin_clay,3045002,User,284,1,#FE020E,triangle-down,12
5107.600098,galei,826057,7161545,14,468,482.3,TOP_Cotchin,Top_Cotchin_clay,3046002,User,21,1,#FE020E,triangle-down,12
5082.600098,galei,827606,7161480,17,462,478.6,TOP_Cotchin,Top_Cotchin_clay,3046002,User,52,1,#FE020E,triangle-down,12
5066.600098,galei,828655,7161450,18,462,480.3,TOP_Cotchin,Top_Cotchin_clay,3046002,User,73,1,#FE020E,triangle-down,12
5047.200195,galei,829904,7161405,12,468,480.4,TOP_Cotchin,Top_Cotchin_clay,3046002,User,98,1,#FE020E,triangle-down,12
5027.600098,galei,831153,7161361,14,456,469.8,TOP_Cotchin,Top_Cotchin_clay,3046002,User,123,1,#FE020E,triangle-down,12
5009.399902,galei,832302,7161324,10,456,465.9,TOP_Cotchin,Top_Cotchin_clay,3046002,User,146,1,#FE020E,triangle-down,12
4996.799805,galei,833101,7161283,6,456,462.1,TOP_Cotchin,Top_Cotchin_clay,3046002,User,162,1,#FE020E,triangle-down,12
4980.799805,galei,834100,7161244,9,450,459.3,TOP_Cotchin,Top_Cotchin_clay,3046002,User,182,1,#FE020E,triangle-down,12
7250.799805,galei,820361,7313415,72,319,390.8,TOP_Cotchin,Top_Cotchin_clay,3053001,User,7,1,#FE020E,triangle-down,12
7257.799805,galei,820861,7313438,60,325,385.2,TOP_Cotchin,Top_Cotchin_clay,3053001,User,17,1,#FE020E,triangle-down,12
7277.200195,galei,822260,7313464,72,307,378.8,TOP_Cotchin,Top_Cotchin_clay,3053001,User,45,1,#FE020E,triangle-down,12
7313.799805,galei,824908,7313399,53,307,359.8,TOP_Cotchin,Top_Cotchin_clay,3053001,User,98,1,#FE020E,triangle-down,12
7330.399902,galei,826057,7313358,54,313,366.5,TOP_Cotchin,Top_Cotchin_clay,3053001,User,121,1,#FE020E,triangle-down,12
7343.799805,galei,826956,7313336,33,319,352,TOP_Cotchin,Top_Cotchin_clay,3053001,User,139,1,#FE020E,triangle-down,12
7358.600098,galei,827956,7313306,43,319,361.7,TOP_Cotchin,Top_Cotchin_clay,3053001,User,159,1,#FE020E,triangle-down,12
7373.200195,galei,828904,7313256,27,319,345.7,TOP_Cotchin,Top_Cotchin_clay,3053001,User,178,1,#FE020E,triangle-down,12
7392.200195,galei,830103,7313220,31,319,350.4,TOP_Cotchin,Top_Cotchin_clay,3053001,User,202,1,#FE020E,triangle-down,12
7406.200195,galei,831001,7313163,8,337,344.8,TOP_Cotchin,Top_Cotchin_clay,3053001,User,220,1,#FE020E,triangle-down,12
7428.799805,galei,832450,7313125,16,331,347.3,TOP_Cotchin,Top_Cotchin_clay,3053001,User,249,1,#FE020E,triangle-down,12
7441,galei,833250,7313113,28,325,353.4,TOP_Cotchin,Top_Cotchin_clay,3053001,User,265,1,#FE020E,triangle-down,12
7468.200195,galei,835047,7313043,23,325,347.7,TOP_Cotchin,Top_Cotchin_clay,3053001,User,301,1,#FE020E,triangle-down,12
7488.600098,galei,836396,7313098,17,337,354.3,TOP_Cotchin,Top_Cotchin_clay,3053001,User,328,1,#FE020E,triangle-down,12
7517.799805,galei,838291,7312977,24,337,361.4,TOP_Cotchin,Top_Cotchin_clay,3053001,User,366,1,#FE020E,triangle-down,12
10971.7998,galei,578203,7001040,70,28.3,98.8,Top_Grimes,Top_Grimes_Siltstone,1018001,User,64,1,#0EFE03,triangle-down-dot,12
10905,galei,582651,7000974,84,10.3,94.7,Top_Grimes,Top_Grimes_Siltstone,1018001,User,153,1,#0EFE03,triangle-down-dot,12
10889.59961,galei,583701,7000974,97,10.3,107.2,Top_Grimes,Top_Grimes_Siltstone,1018001,User,174,1,#0EFE03,triangle-down-dot,12
10865,galei,585300,7001005,113,22.3,135,Top_Grimes,Top_Grimes_Siltstone,1018001,User,206,1,#0EFE03,triangle-down-dot,12
10843.2002,galei,586650,7001015,87,16.3,103,Top_Grimes,Top_Grimes_Siltstone,1018001,User,233,1,#0EFE03,triangle-down-dot,12
10834.2002,galei,587200,7001026,111,-7.7,103.2,Top_Grimes,Top_Grimes_Siltstone,1018001,User,244,1,#0EFE03,triangle-down-dot,12
10815.59961,galei,588349,7001018,119,-25.7,93.6,Top_Grimes,Top_Grimes_Siltstone,1018001,User,267,1,#0EFE03,triangle-down-dot,12
10783.40039,galei,590399,7000994,73,4.3,77.2,Top_Grimes,Top_Grimes_Siltstone,1018001,User,308,1,#0EFE03,triangle-down-dot,12
10760,galei,591898,7000968,79,-1.7,77.1,Top_Grimes,Top_Grimes_Siltstone,1018001,User,338,1,#0EFE03,triangle-down-dot,12
11571.40039,galei,461198,6961291,197,-155.6,41.6,Top_Grimes,Top_Grimes_Siltstone,1020001,User,24,1,#0EFE03,triangle-down-dot,12
11545.40039,galei,462997,6961306,203,-155.6,47.6,Top_Grimes,Top_Grimes_Siltstone,1020001,User,60,1,#0EFE03,triangle-down-dot,12
11535,galei,463697,6961299,200,-149.6,50.9,Top_Grimes,Top_Grimes_Siltstone,1020001,User,74,1,#0EFE03,triangle-down-dot,12
