,OBJECTID,ENO,WELL,Latitude,Longitude,GA_GUID,UWI,GA_UNIT,TOP_MD_M,BASE_MD_M,DATUM_ELEVATION,TD_MD_M,DATA_SOURCE,SRTM_HE,HIERARCHY,POINT_X,POINT_Y,Diff_X,Diff_Y,GDA94_Latitude,GDA94_Longitude,GA_PREFERRED_TD_M,GA_ELEVATION,TAG,GA_STRATNO,TOP_AHD_M,BASE_AHD_M,geometry
2537,2538,,RN158355,-21.6208957,146.10496080000001,{2f077709-9265-4d34-842f-e6335ca2823c},RN158355,Clematis Group,0.0,149.0,496.12,149.0,DNRM_QLD_GROUNDWATER_DB2017,497.9849548,12,146.10496080000001,-21.6208957,0.0,9.95e-14,,,,,,4137.0,496.12,347.12,POINT (407366.9989560362 7608867.000384355)
2720,2721,,RN165072,-21.68018806,146.1255309,{19948d3b-508a-43f5-ba74-2b8fbe79a1ec},RN165072,CENOZOIC,0.0,33.0,420.0,250.0,DNRM_QLD_GROUNDWATER_DB2017,410.5013733,12,146.1255309,-21.68018806,0.0,0.0,,,,,,,420.0,387.0,POINT (409533.0048548657 7602315.999680788)
2721,2722,,RN165072,-21.68018806,146.1255309,{717624aa-507b-40cd-95d1-c18fd715bf6c},RN165072,Clematis Group,33.0,100.0,420.0,250.0,DNRM_QLD_GROUNDWATER_DB2017,410.5013733,12,146.1255309,-21.68018806,0.0,0.0,,,,,,4137.0,387.0,320.0,POINT (409533.0048548657 7602315.999680788)
2722,2723,,RN165072,-21.68018806,146.1255309,{4a20c7a3-c871-4bcd-9b18-45b7ac318ad8},RN165072,Rewan Formation,100.0,250.0,420.0,250.0,DNRM_QLD_GROUNDWATER_DB2017,410.5013733,12,146.1255309,-21.68018806,0.0,0.0,,,,,,16052.0,320.0,170.0,POINT (409533.0048548657 7602315.999680788)
3216,3217,,RN320007,-22.89845205,145.4594779,{f4145a65-a711-4d5a-b390-be0c768ff4f7},RN320007,Sediments,0.0,2.0,244.5901337,21.0,DNRM_QLD_GROUNDWATER_DB2017,244.5901337,12,145.4594779,-22.89845204,0.0,9.95e-14,,,,,,,244.5901337,242.5901337,POINT (341993.7275754785 7466894.844026393)
3217,3218,,RN320007,-22.89845205,145.4594779,{10c0621b-c174-43d6-a153-35991f4236bc},RN320007,Doncaster Member,2.0,21.0,244.5901337,21.0,DNRM_QLD_GROUNDWATER_DB2017,244.5901337,12,145.4594779,-22.89845204,0.0,9.95e-14,,,,,,5593.0,242.5901337,223.5901337,POINT (341993.7275754785 7466894.844026393)
3218,3219,,RN320008,-22.89845203,145.4678117,{ac683c28-754e-4d12-8139-770c13a17df9},RN320008,Sediments,0.0,1.0,246.1650543,9.0,DNRM_QLD_GROUNDWATER_DB2017,246.1650543,12,145.4678117,-22.89845203,0.0,1.0300000000000002e-13,,,,,,,246.1650543,245.1650543,POINT (342848.641384097 7466903.768136967)
3219,3220,,RN320008,-22.89845203,145.4678117,{c94a85a4-41fa-480e-95ad-1be5e16c0c49},RN320008,Doncaster Member,1.0,9.0,246.1650543,9.0,DNRM_QLD_GROUNDWATER_DB2017,246.1650543,12,145.4678117,-22.89845203,0.0,1.0300000000000002e-13,,,,,,5593.0,245.1650543,237.1650543,POINT (342848.641384097 7466903.768136967)
3220,3221,,RN320009,-22.865101199999998,145.4984128,{ec328133-8882-4a95-8e8e-bfc7020277cd},RN320009,Sediments,0.0,1.0,276.752533,24.0,DNRM_QLD_GROUNDWATER_DB2017,276.752533,12,145.4984128,-22.865101199999998,0.0,0.0,,,,,,,276.752533,275.752533,POINT (345950.1628421152 7470628.876192439)
3221,3222,,RN320009,-22.865101199999998,145.4984128,{d52b6b27-58d0-4a9c-8656-9885a9392b98},RN320009,Doncaster Member,1.0,24.0,276.752533,24.0,DNRM_QLD_GROUNDWATER_DB2017,276.752533,12,145.4984128,-22.865101199999998,0.0,0.0,,,,,,5593.0,275.752533,252.752533,POINT (345950.1628421152 7470628.876192439)
